2025-07-26 15:35:13,042 p=103462 u=master n=ansible | PLAY [🐳 Установка контейнерной поддержки] ********************************************************************************************************************************************
2025-07-26 15:35:13,052 p=103462 u=master n=ansible | TASK [📋 Информация о контейнеризации] ************************************************************************************************************************************************
2025-07-26 15:35:13,052 p=103462 u=master n=ansible | Saturday 26 July 2025  15:35:13 +0000 (0:00:00.012)       0:00:00.012 ********* 
2025-07-26 15:35:13,109 p=103462 u=master n=ansible | ok: [localhost] => 
  msg: "================================================================================\n\U0001F433 УСТАНОВКА КОНТЕЙНЕРНОЙ ПОДДЕРЖКИ\n================================================================================\n\U0001F527 Компоненты: Enroot + Pyxis + NVIDIA Container Toolkit\n\U0001F3AF Целевые узлы: 4\n\U0001F3AE GPU узлы: 2\n\n\U0001F4CA Узлы для установки:\n\U0001F5A5️  Compute: cn01, cn02\n\U0001F511 Login:   sm02\n\U0001F39B️  Master:  sm01\n\n⏱️  Ожидаемое время: ~20-30 минут\n================================================================================"
2025-07-26 15:35:13,119 p=103462 u=master n=ansible | PLAY [🐳 Этап 1/3: Установка Enroot на все узлы] **************************************************************************************************************************************
2025-07-26 15:35:13,151 p=103462 u=master n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************************************
2025-07-26 15:35:13,151 p=103462 u=master n=ansible | Saturday 26 July 2025  15:35:13 +0000 (0:00:00.098)       0:00:00.110 ********* 
2025-07-26 15:35:15,597 p=103462 u=master n=ansible | ok: [sm02]
2025-07-26 15:35:15,673 p=103462 u=master n=ansible | ok: [cn02]
2025-07-26 15:35:15,680 p=103462 u=master n=ansible | ok: [sm01]
2025-07-26 15:35:15,695 p=103462 u=master n=ansible | ok: [cn01]
2025-07-26 15:35:15,735 p=103462 u=master n=ansible | TASK [common : [COMMON] Начало выполнения роли common] ********************************************************************************************************************************
2025-07-26 15:35:15,735 p=103462 u=master n=ansible | Saturday 26 July 2025  15:35:15 +0000 (0:00:02.584)       0:00:02.695 ********* 
2025-07-26 15:35:15,767 p=103462 u=master n=ansible | ok: [sm01] => 
  msg: "\U0001F527 Настройка базовых компонентов на sm01"
2025-07-26 15:35:15,781 p=103462 u=master n=ansible | ok: [sm02] => 
  msg: "\U0001F527 Настройка базовых компонентов на sm02"
2025-07-26 15:35:15,783 p=103462 u=master n=ansible | ok: [cn01] => 
  msg: "\U0001F527 Настройка базовых компонентов на cn01"
2025-07-26 15:35:15,797 p=103462 u=master n=ansible | ok: [cn02] => 
  msg: "\U0001F527 Настройка базовых компонентов на cn02"
2025-07-26 15:35:15,804 p=103462 u=master n=ansible | TASK [common : [COMMON] Обновление apt cache] *****************************************************************************************************************************************
2025-07-26 15:35:15,804 p=103462 u=master n=ansible | Saturday 26 July 2025  15:35:15 +0000 (0:00:00.068)       0:00:02.764 ********* 
2025-07-26 15:35:16,847 p=103462 u=master n=ansible | ok: [sm01]
2025-07-26 15:35:25,759 p=103462 u=master n=ansible | changed: [cn01]
2025-07-26 15:35:26,427 p=103462 u=master n=ansible | changed: [cn02]
2025-07-26 15:35:27,733 p=103462 u=master n=ansible | changed: [sm02]
2025-07-26 15:35:27,740 p=103462 u=master n=ansible | TASK [common : [COMMON] Установка базовых пакетов] ************************************************************************************************************************************
2025-07-26 15:35:27,740 p=103462 u=master n=ansible | Saturday 26 July 2025  15:35:27 +0000 (0:00:11.936)       0:00:14.700 ********* 
2025-07-26 15:35:28,778 p=103462 u=master n=ansible | ok: [sm02]
2025-07-26 15:35:28,893 p=103462 u=master n=ansible | ok: [cn01]
2025-07-26 15:35:28,972 p=103462 u=master n=ansible | ok: [cn02]
2025-07-26 15:35:38,847 p=103462 u=master n=ansible | changed: [sm01]
2025-07-26 15:35:38,855 p=103462 u=master n=ansible | TASK [common : [COMMON] Настройка timezone] *******************************************************************************************************************************************
